algo,packing,test_case,boxes_count
ffd_shaker_pro,orgs bottom-left,uniform_500,166
ffd_shaker_pro,orgs bottom-left,uniform_50,20
ffd_shaker_pro,orgs bottom-left,uniform_1000,334
ffd_shaker_pro,orgs bottom-left,uniform_100,36
ffd_shaker_pro,orgs bottom-left,small_500,20
ffd_shaker_pro,orgs bottom-left,small_50,3
ffd_shaker_pro,orgs bottom-left,small_1000,40
ffd_shaker_pro,orgs bottom-left,small_100,4
ffd_shaker_pro,orgs bottom-left,meduim_500,206
ffd_shaker_pro,orgs bottom-left,meduim_50,21
ffd_shaker_pro,orgs bottom-left,meduim_1000,419
ffd_shaker_pro,orgs bottom-left,meduim_100,42
ffd_shaker_pro,orgs bottom-left,medium_500,143
ffd_shaker_pro,orgs bottom-left,known_50_bins_3,9
ffd_shaker_pro,orgs bottom-left,known_500_bins_33,9
ffd_shaker_pro,orgs bottom-left,known_100_bins_6,9
ffd_shaker_pro,orgs bottom-left,known_1000_bins_66,9
ffd_shaker_pro,orgs bottom-left,extremes_500,253
ffd_shaker_pro,orgs bottom-left,extremes_50,26
ffd_shaker_pro,orgs bottom-left,extremes_1000,505
ffd_shaker_pro,orgs bottom-left,extremes_100,51
ffd_shaker,orgs bottom-left,uniform_500,154
ffd_shaker,orgs bottom-left,uniform_50,18
ffd_shaker,orgs bottom-left,uniform_1000,309
ffd_shaker,orgs bottom-left,uniform_100,32
ffd_shaker,orgs bottom-left,small_500,21
ffd_shaker,orgs bottom-left,small_50,3
ffd_shaker,orgs bottom-left,small_1000,42
ffd_shaker,orgs bottom-left,small_100,5
ffd_shaker,orgs bottom-left,meduim_500,181
ffd_shaker,orgs bottom-left,meduim_50,20
ffd_shaker,orgs bottom-left,meduim_1000,382
ffd_shaker,orgs bottom-left,meduim_100,39
ffd_shaker,orgs bottom-left,medium_500,126
ffd_shaker,orgs bottom-left,known_50_bins_3,9
ffd_shaker,orgs bottom-left,known_500_bins_33,9
ffd_shaker,orgs bottom-left,known_100_bins_6,9
ffd_shaker,orgs bottom-left,known_1000_bins_66,9
ffd_shaker,orgs bottom-left,extremes_500,254
ffd_shaker,orgs bottom-left,extremes_50,26
ffd_shaker,orgs bottom-left,extremes_1000,506
ffd_shaker,orgs bottom-left,extremes_100,52
ffd,orgs bottom-left,uniform_500,150
ffd,orgs bottom-left,uniform_50,18
ffd,orgs bottom-left,uniform_1000,299
ffd,orgs bottom-left,uniform_100,35
ffd,orgs bottom-left,small_500,20
ffd,orgs bottom-left,small_50,3
ffd,orgs bottom-left,small_1000,40
ffd,orgs bottom-left,small_100,4
ffd,orgs bottom-left,meduim_500,197
ffd,orgs bottom-left,meduim_50,21
ffd,orgs bottom-left,meduim_1000,396
ffd,orgs bottom-left,meduim_100,40
ffd,orgs bottom-left,medium_500,131
ffd,orgs bottom-left,known_50_bins_3,9
ffd,orgs bottom-left,known_500_bins_33,9
ffd,orgs bottom-left,known_100_bins_6,9
ffd,orgs bottom-left,known_1000_bins_66,9
ffd,orgs bottom-left,extremes_500,253
ffd,orgs bottom-left,extremes_50,26
ffd,orgs bottom-left,extremes_1000,505
ffd,orgs bottom-left,extremes_100,51
